objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Wonders Duel","173346","8","0","0","0","0","0","0","0","1","0","0","3","","","","","","72190166","7.95093","8.07591","2.2271","24","185678","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel: Agora","309116","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","83974524","7.26423","8.05563","2.8657","0","24258","thing","7 Wonders Duel: Agora","2","2","30","30","30","2020","2","2","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders Duel: Pantheon","202976","8","0","0","0","0","0","0","0","1","0","0","3","","","","","","72609698","7.62356","7.99499","2.31","0","51560","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"The Anarchy","408637","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","123775437","6.57782","8.38942","3.87","1150","4254","thing","The Anarchy","1","4","90","90","60","2025","1,2","1","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Garphill Games","English","2025","Garphill Games English edition"
"The Anarchy: Beer & Plunder Tiles","444857","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131873992","5.53017","7.53824","0","0","504","thing","The Anarchy: Beer & Plunder Tiles","1","4","90","90","60","2025","","","","","","","","","","expansion","","","","","","","","","","","","Garphill Games","English","2025","English edition"
"Arboretum","140934","8","0","0","0","0","0","0","0","1","0","0","3","","","","","","80867362","7.05862","7.24141","2.111","440","43377","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Awkward Guests 2: The Berwick Cases","378477","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126100209","5.91162","7.73952","2.2727","3801","2408","thing","Awkward Guests 2: The Berwick Cases","2","2","40","40","30","2024","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Megacorpin Games","English","2024","English edition"
"Awkward Guests: Awkward Secrets","284580","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126100220","5.55377","7.4581","2","0","542","thing","Awkward Guests: Awkward Secrets","2","8","75","75","45","2019","1,2,3,4,5,6","3,4,5","10+","","","","","","","expansion","","","","","","","","","","","","Megacorpin Games","English","2019","English edition"
"Awkward Guests: Kickstarter Stretch Goals Box","284597","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126100232","5.52605","6.17212","0","0","670","thing","Awkward Guests: Kickstarter Stretch Goals Box","2","8","75","75","45","2019","","","","","","","","","","expansion","","","","","","","","","","","","Megacorpin Games","English","2019","English edition"
"Awkward Guests: The Walton Case","188866","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126100194","7.0834","7.52445","2.3165","411","17291","thing","Awkward Guests: The Walton Case","1","8","75","75","45","2019","2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Megacorpin Games","English","2019","English edition"
